Település,Településtípus,Év,Belföldi oda- és elvándorlás különbsége ezer lakosra,Bűncselekmények száma ezer főre,Diplomások aránya (interpolált),Egy lakosra jutó SZJA adóalapot képező belföldi jövedelem (Ft),Gimnáziumi tanulók a nappali oktatásban ezer főre,Helyi önkormányzatok összes költségvetési bevétele (1000 Ft) egy főre,Iparűzési adó egy főre (1000 ft),Közüzemi ivóvízvezeték-hálózatba bekapcsolt lakások aránya (százalék),Lakások átlagos négyzetméterára,Alapszolgáltatásokon felüli kiadások egy főre (1000 Ft),Állami támogatások egy főre (pályázatok),"Az év folyamán épített lakás, 1000 lakásra (db)",Egy házi- és házi gyermekorvosra jutó lakos (fő),Élelmiszer és élelmiszer jellegű belkereskedelmi egységek száma tízezer főre (db),Eltartottsági ráta,"Felsőfokú intézmények nappali tagozatos hallgatói (képzés helye szerint), 1000 lakosra (fő)",Gyógyszertárak tízezer főre,"Játszóterek, tornapályák, pihenőhelyek ezer főre",Közcsatornahálózatba bekapcsolt lakások aránya (százalék),Kulturális rendezvényeken részt vevők száma egy főre,Legközelebbi legalább 50 ezer fős város elérési ideje közúton a legrövidebb úton (perc),Nem élelmiszer jellegű belkereskedelmi egységek száma tízezer főre (db),"Nyilvántartott álláskereső, 100 15-64 évesre (fő)",Önkormányzati járdák kiépítettsége (százalék),Önkormányzati utak kiépítettsége (százalék),"SZJA adófizető, 100 lakosra (fő)",Vendégéjszakák száma a kereskedelmi szálláshelyeken száz főre (db),Vendéglátóhelyek száma tízezer főre (db),25 év alatti nyilvántartott álláskeresők aránya (százalék),"Alkotó művelődési közösségek tagjai, 100 lakosra (fő)",Bevásárlóközpontok (városok) (igen-nem),Házi segítségnyújtásban részesülők ezer főre,Helyközi autóbusz-megálló léte (igen-nem),Internet-előfizetések száma ezer főre,Jelzőrendszeres házi segítségnyújtásban részesülők tízezer főre,Kormányablak léte (igen-nem),Közüzemi szennyvízgyűjtő-hálózatban (közcsatornában) tisztítottan elvezetett szennyvíz aránya (százalék),Lakosságtól szelektíven elszállított települési hulladék aránya (százalék),Lakott területen történt összes közúti közlekedési baleset ezer főre (eset),Mozi léte (igen-nem),"Múzeumi látogatók, 100 lakosra (fő)","Működő kórházi ágy, 1000 lakosra (db)",Önkormányzat által kiutalt lakások ezer főre (db),Postai szolgáltatóhelyek tízezer lakosra,"Rendőrkapitányság, határrendészeti kirendeltség, rendőrőrs, körzeti megbízott székhely léte (igen-nem)","Rendszeres művelődési formákban résztvevők, 100 lakosra (fő)",Szállított utasok a helyi tömegközlekedésben (városok) (1000 fő),"Személygépkocsi, 1000 lakosra (db)",Színház léte (igen-nem),Színházak látogatói (fő),"Természetes szaporodás, fogyás (ezrelék)",Utaskilométer a helyi tömegközlekedésben (városok) (1000 km),Vasútállomás léte (igen-nem),Indexpontszám,Rangsor
Lendvadedes,Kistelepülés,2014,0,"34,5",0,"623668,3",0,"424,8","4,6",100,0,"33,9",0,0,,0,"52,6",0,0,0,0,"4,2","53,02",0,0,,"12,4","39,4",0,"517,2",,0,1,0,100,"103,4",0,1,90,"5,26",0,1,0,0,0,0,1,0,,"310,3",1,,0,,1,"5,6",2795
Megyer,Kistelepülés,2014,"-122,5",0,0,"1066198,7",0,"915,8",0,100,0,"63,3","475219,391",0,,"652,2","21,1",0,0,0,0,"175,2","51,96",0,"12,1",100,"6,7","71,4","15169,6",0,0,0,1,0,100,87,0,1,90,0,0,1,0,0,0,0,1,0,,"782,6",1,,0,,1,"7,6",1716
Lendvajakabfa,Kistelepülés,2014,"-58,8",250,15,226754,0,"978,8","60,65","62,2",0,"155,7",0,0,,0,60,0,0,0,0,"1,3","52,72",0,"3,1",,"26,3","30,3",0,0,0,0,1,375,100,125,0,1,90,"6,35",0,1,0,0,0,0,1,0,,750,1,,0,,1,"6,4",2593
Teresztenye,Kistelepülés,2014,"363,6","102,6",0,"1099804,4",0,"702,3",0,100,0,"347,3",0,0,,0,"34,5",0,0,0,"66,67","6,5","59,21",0,0,,"11,2","61,5","838,5",0,,"15,4",1,0,100,"25,6",0,1,100,0,0,1,0,0,0,0,1,"18,2",,"820,5",1,,0,,1,"6,5",2555
Keresztéte,Kistelepülés,2014,58,0,"22,4","769586,5",0,"603,7","4,35",100,0,"22,7",0,0,,0,44,0,0,0,0,"10,4","70,4",0,"4,2",,1,"44,6",0,0,0,0,1,"166,7",100,"83,3",0,1,90,0,0,1,0,0,0,0,1,0,,"527,8",1,,0,,1,"7,6",1685
Tornabarakony,Kistelepülés,2014,"444,5",0,0,"448108,4",0,"621,8","7,28","43,2",0,"117,6",0,0,,0,"69,2",0,0,0,0,"71,2","80,35",0,"2,4",,"5,9","26,2","822,7",0,100,"27,3",1,0,100,0,0,1,90,0,0,1,0,0,0,0,1,"33,3",,"272,7",1,,"-55,6",,1,"5,3",2845
Csér,Kistelepülés,2014,"75,5",37,0,"560972,5",0,561,"50,6",100,0,"137,4",0,0,,0,50,0,0,0,0,0,"37,41",0,0,,0,"54,1",0,0,,0,1,0,100,"259,3",0,1,90,"3,7",0,1,0,0,0,0,1,0,,"407,4",1,,0,,1,"5,5",2815
Csertalakos,Kistelepülés,2014,"-545,5",0,0,"489274,2",0,"592,9","19,27",100,0,"168,4",0,0,,0,"54,6",0,0,"58,8",0,"5,9","36,87",0,"3,2",,25,50,0,0,100,0,1,0,100,"58,8",0,1,90,"4,41",0,1,0,0,0,0,1,0,,"705,9",1,,"45,5",,1,"4,4",2881
Nemesmedves,Kistelepülés,2014,300,0,0,"284903,3",0,"319,6",0,100,0,"85,9",0,0,,0,"61,9",0,0,"29,4",0,0,"49,68",0,0,0,"8,2","33,3",0,0,,0,1,0,1,"176,5",0,1,90,0,0,1,0,0,0,0,1,0,,"205,9",1,,"-33,3",,1,5,2866
Pusztaapáti,Kistelepülés,2014,"-177,8",0,0,"672136,9",0,"689,2","10,8","95,2",0,"570,8",0,0,,0,100,0,0,0,0,"2,8","40,1",0,0,"39,7","75,6","57,7",0,750,,0,1,0,100,50,500,1,90,"6,35",0,1,0,0,0,0,1,0,,300,1,,0,,1,"6,6",2511
Tornakápolna,Kistelepülés,2014,"-148,2",0,"24,2","1188428,5",0,"1152,7",0,"44,1",0,"62,2",0,0,,0,"33,3",0,0,0,0,"0,6","73,55",0,"10,5",0,100,"66,7","1508,3",0,0,0,1,0,1,0,0,1,90,0,0,1,0,0,0,0,1,0,,"916,7",1,,0,,1,"7,7",1645
Perecse,Kistelepülés,2014,"-71,4",37,0,"748341,4",0,"1093,2","3,71","88,2",0,"484,8",0,0,,0,"58,8",0,0,0,0,"1,9","66,17",0,"6,9",,"86,2","62,5",0,0,0,0,1,"296,3",100,"148,1",0,1,90,0,0,1,0,0,0,0,1,0,,"333,3",1,,0,,1,"5,9",2737
Debréte,Kistelepülés,2014,"205,1","90,9",0,"937176,8",0,"633,2","2,36","65,4",0,"32,1",0,0,,0,"46,7",0,0,0,0,"5,3","79,14",0,0,,1,"41,4","822,7",0,,0,1,0,100,0,0,1,90,0,0,1,0,0,0,0,1,0,,500,1,,"51,3",,1,"5,4",2833
Felsőszenterzsébet,Kistelepülés,2014,"60,6",0,0,"263719,2",0,"549,5",0,100,0,"274,1",0,0,,0,"77,8",0,0,0,0,"1,3","50,03",0,0,,0,"63,2","2687,5",0,,0,1,0,100,"312,5",625,1,90,"5,45",0,1,0,0,0,0,1,0,,"437,5",1,,"-121,2",,1,"5,2",2850
Iborfia,Kistelepülés,2014,"210,5","181,8",0,"774709,3",0,"865,2","2,84",100,0,"12,6",0,0,,0,120,0,0,0,0,"1,8","23,69",0,"7,7",,"60,4","38,5",0,0,0,0,1,0,1,"90,9",0,1,90,0,0,1,0,0,0,0,1,0,,"363,6",1,,"105,3",,1,"5,4",2825
Kunmadaras,Kistelepülés,2022,"-9,2","11,6",4,"1016074,8",0,"262,9","12,69",100,63,"7,5","50618,4",0,1663,"38,1","55,6",0,2,0,"42,57",1,63,"32,1","11,5",100,"18,6","40,9","25,6",22,"19,1","0,5",1,"10,8",100,"232,5",0,1,100,"13,61",1,1,0,0,0,2,100,3,0,"268,4",1,0,"-3,2",0,100,"9,2",1409
Battonya,Kistelepülés,2022,"-18,1","6,4","11,1",1133297,"8,3","369,6","22,21","97,4",87,"103,1","95434,7",0,2483,"54,4","56,2",0,2,"0,4","74,58","1,9",60,"48,3","7,4","1,3","54,6",40,"25,7","48,3","11,5","3,4",1,"97,5",100,"197,7","14,1",1,100,"8,25","0,2",1,"2,4",0,"0,8",2,100,"3,8",0,"337,5",1,0,"-13,8",0,100,"12,1",343
Füzesgyarmat,Kistelepülés,2022,"1,2","1,2","7,3",1831288,0,"454,2","94,06",100,172,"203,7","103202,7",0,"1239,8","30,2","53,8",0,2,"0,2","90,35","1,3",60,"96,8",4,"65,6","10,7","55,1","392,8","38,3","13,9","1,4",1,"21,2",100,"324,7","18,1",100,100,"10,4","0,2",1,0,0,"2,6",2,100,"3,4",0,"349,7",1,0,"-12,2",0,100,"12,8",221
Szatymaz,Kistelepülés,2022,0,"2,2","13,7","1852978,9",0,"263,3","63,68","60,3",335,"54,9","526680,2","1,6","1645,7","16,2","52,3",0,2,"0,6","33,68","0,6",17,"24,3","1,2","96,9",12,"51,4","19,9","26,3","7,3","1,6",1,"6,9",100,"296,9",0,1,100,"6,41","0,2",1,0,0,0,2,1,"4,8",0,"477,4",1,0,"3,3",0,100,"11,9",391
Helvécia,Kistelepülés,2022,"28,8","3,2",15,"2589992,9",0,"348,6","32,57",78,392,"92,7","58911,5","17,9",4936,"18,2","49,1",0,2,0,"45,24","1,1",18,"24,3","2,7","88,6","10,2","54,6","25,9","20,3","9,7","1,6",1,"1,2",100,248,0,1,100,"17,61","0,4",1,0,0,0,2,1,"1,9",0,"495,3",1,0,"2,5",0,1,"12,1",331
Lábatlan,Kistelepülés,2022,"2,2","3,2","10,2","2249985,6",0,"362,1","36,79","99,3",291,47,"141083,1",0,"1642,7","36,5","55,2",0,2,"1,8","91,31","2,1",39,"62,9","1,6","97,6","85,4","51,1",45,"16,2","18,8",0,1,"6,3",100,"357,8","4,1",1,100,"15,49","0,6",1,0,0,"0,6",2,1,"2,5",0,"420,3",1,0,"-3,7",0,100,"12,7",237
Komádi,Kistelepülés,2022,"7,2","9,4","7,2","1498591,6",0,"619,7","13,51","85,4",119,"94,1","178699,9",0,"1225,8","44,9","52,6",0,2,"0,2","71,77","2,7",58,"87,7","9,3","66,9","10,4","50,2","65,3","44,9","19,1","1,3",1,"7,1",100,"316,3","44,9",100,100,"3,17","0,6",1,"3,6",0,"0,6",2,100,"2,5",0,"337,6",1,0,-7,0,1,"11,3",504
Szentmártonkáta,Kistelepülés,2022,"4,1","6,3","7,6","2087316,4",0,"167,8","7,38","77,6",304,31,"2382,6","0,5","2441,5","28,7",47,0,2,"0,6","71,74","0,3",63,"30,7","3,2",100,"14,7","52,7","26,1","14,3","5,8",0,1,"2,5",100,309,2,1,100,"20,84","0,8",1,0,0,0,2,1,"1,9",0,"372,9",1,0,"0,6",0,100,"10,6",699
Örkény,Kistelepülés,2022,"6,4","17,2","6,6","1604764,4",0,253,"25,43",100,242,"17,6","375398,2","0,6",2435,"32,9","51,3",0,"2,1","0,4","90,23","1,4",29,"59,5",6,"85,7","19,9","47,1","26,2","18,5","11,3","1,6",1,"21,1",100,"280,9","139,6",1,100,"7,51","0,6",1,0,0,0,"2,1",100,"3,1",0,"382,1",1,0,"2,9",0,100,"11,4",489
Lakitelek,Kistelepülés,2022,"2,9",7,"11,5","2046120,5",0,"340,3","32,05","86,6",223,"176,1",73868,"2,2","1622,3","53,4","55,5",0,"2,1","0,2","69,96",7,35,"88,4",2,100,"17,4","51,8","464,3","104,8","7,1","3,9",1,"3,5",100,"354,6",0,1,100,"41,86","0,4",1,0,0,0,"2,1",100,"57,4",0,"461,9",1,0,"-2,5",0,100,"13,1",184
Tiszaalpár,Kistelepülés,2022,"6,1","3,7","7,3","1783562,1",0,"163,6","15,26","95,4",165,"8,4","74387,8","0,5","1618,7","53,5","61,7",0,"2,1","0,8","77,2","0,5",39,"61,8",2,"97,1","16,9","50,3",65,"28,8","4,8","1,3",1,"1,9",100,"291,6",0,1,100,"18,74","1,6",1,0,0,0,"2,1",100,"4,8",0,"411,9",1,0,"-7,6",0,100,"10,8",648
Egyek,Kistelepülés,2022,"-8,7","4,9",5,"1267648,3",0,"249,3","8,64","92,4",77,"62,3","16339,7",0,"2424,5","55,7","58,9",0,"2,1","0,2","74,85","0,5",58,"39,2","6,5",100,"11,5","48,8","26,3","20,6","16,9","1,3",1,"40,8",100,"241,1",0,1,100,"10,04","0,8",1,"6,5",0,0,"2,1",1,"2,8",0,"319,2",1,0,"1,2",0,100,"9,5",1199
Sződliget,Kistelepülés,2022,"39,7","2,3",24,"2797049,8",0,"145,2","25,84","98,9",673,"5,6","11354,8","7,1","1608,3","31,1","57,9",0,"2,1","0,2",95,"0,1",43,"41,5","0,9",100,62,52,"26,4","33,2","11,1","0,5",1,"5,4",100,"366,8",0,1,100,"28,53",1,1,0,0,0,"2,1",1,"3,5",0,"443,9",1,0,"-16,3",0,100,"13,8",117
Jászkisér,Kistelepülés,2022,"-6,2","13,9","6,4","1643002,6",0,"350,2","24,06","94,6",109,"98,2","138049,6",0,2412,"39,4",56,0,"2,1","0,4","80,96","1,4",42,"35,2","3,4","97,4","14,5","48,6","26,5",29,"15,2","3,8",1,"6,8",100,"278,6",0,1,100,"11,04","0,2",1,"62,2",0,"1,7","2,1",100,"6,1",0,"491,1",1,0,"2,3",0,100,11,599
Rácalmás,Kistelepülés,2022,"13,5","2,9","21,6","2910718,8",0,"668,3","125,89",100,361,"234,9","1641,9",8,1602,"18,7","54,3",0,"2,1","0,4","85,51","1,7",31,"54,1","2,2",100,"58,3","53,6","277,6",25,"14,1","3,6",1,0,100,"293,4",0,1,100,"13,9","0,4",1,0,0,0,"2,1",100,"6,9",0,"473,2",1,0,"-1,7",0,100,"15,8",41
Környe,Kistelepülés,2022,"9,1","3,1","14,3","2557833,5",0,"625,9","369,08","88,2",295,"53,9","25848,8","3,3",1592,"25,1","51,5",0,"2,1","1,7","71,53","2,4",12,"64,9","1,7","91,4","27,8","54,9","26,7","37,7","2,9","1,9",1,"2,5",100,"312,2","12,6",1,100,"9,75","1,5",1,0,0,0,"2,1",100,"5,3",0,"478,2",1,0,"-6,8",0,100,"15,3",58
Domaszék,Kistelepülés,2022,"-2,5","0,6","14,8","1831511,8",0,220,"43,9","54,9",278,54,"47987,8","3,3","2384,5","10,5","54,8",0,"2,1","0,2","41,69","0,1",15,"18,9","0,9","95,6","10,2","53,8","40,6","10,5","5,4","0,5",1,"2,7",100,"226,7",0,1,100,"24,95","0,2",1,0,0,0,"2,1",1,"1,8",0,"520,7",1,0,"-3,5",0,1,11,581
Tiszalúc,Kistelepülés,2022,"6,2","6,9","5,6","1625351,1",0,"228,4","12,53","93,7",104,"48,9","41890,9",0,1585,"23,1","51,9",0,"2,1","1,1","80,19","0,9",34,"29,4","6,9",100,"34,1",45,"26,8","23,1","13,2",0,1,"11,8",100,241,"33,6",1,100,"22,15","1,3",1,"3,7",0,0,"2,1",100,"2,8",0,301,1,0,"-0,6",0,100,"10,3",812
Emőd,Kistelepülés,2022,"-5,7","4,2","9,2","1906782,7",0,"230,4","15,07","92,1",231,"76,9","98729,3","1,6","1187,5","31,6","54,5",0,"2,1","0,2","80,26","1,4",27,"46,3","4,1",100,"40,4","49,8",0,"25,3","10,3","1,9",1,"10,5",100,"282,5","10,5",100,100,"35,34","0,6",1,0,0,0,"2,1",100,"3,3",0,"350,7",1,0,"-6,5",0,100,12,369
Inárcs,Kistelepülés,2022,"29,6","6,6","13,8","2424550,7",0,"189,9","30,18",100,424,"33,9","8195,6","5,1",2363,"31,7","52,7",0,"2,1","0,6","86,86","0,6",35,"46,6","2,9",100,"17,6","53,2","824,5","29,6","13,3","3,9",1,"24,5",100,"316,8",0,1,100,"11,58","1,1",1,0,0,0,"2,1",100,"8,2",0,"471,2",100,1318,"5,2",0,100,"13,4",153
Szabadbattyán,Kistelepülés,2022,"17,9","3,2","13,5","2516253,1",0,"159,2","23,82","88,1",0,"48,1","2645,8","3,4","1571,7","25,5","52,2",0,"2,1","0,6","81,24","1,5",13,"27,6","1,7","99,5","98,1","55,4",0,"29,7","11,8","2,1",1,"2,1",100,"291,4","14,8",1,100,"15,02","1,3",1,"5,2",0,0,"2,1",100,"4,5",0,"486,3",1,0,0,0,100,"10,2",863
Onga,Kistelepülés,2022,"-16,6","5,1",11,"1792514,4",0,"403,7","14,1","91,6",244,"28,2","840240,6","4,5",2356,"36,1","57,2",0,"2,1","0,6","77,69","1,4",18,"14,9","6,7","94,5","29,6","48,7",0,"14,9","13,2","0,5",1,"7,4",100,"273,3","25,5",1,100,"23,06","0,4",1,0,0,0,"2,1",100,"2,3",0,"357,4",1,0,"1,3",0,100,"12,1",329
Harkány,Kistelepülés,2022,"20,7","8,3","15,2",1597690,0,"688,2","26,04","82,6",413,223,"96107,5","2,5","2344,5","59,7","68,4",0,"2,1","0,4","59,42","2,7",30,"185,5",3,"93,8",44,"44,4","5898,6","200,5","5,6","1,1",1,"14,9",100,"391,1",0,1,100,"27,3","1,3",1,0,"64,4","0,4","2,1",100,"1,6",0,"501,8",1,0,"-6,7",0,1,"14,9",71
Újkígyós,Kistelepülés,2022,"12,6","4,3","9,5","1703263,4",0,"260,6","14,17","97,3",175,"49,2","1652,8",0,1561,"25,6","63,3",0,"2,1","0,9","88,26","1,1",20,"57,7",4,100,"93,3","49,9","27,2","25,6",8,"1,1",1,"11,7",100,"140,9","34,2",1,100,"31,01","1,1",1,0,0,0,"2,1",100,"2,5",0,417,1,0,"-13,3",0,1,"11,3",495
Kemecse,Kistelepülés,2022,"2,6","5,1","7,9","1574821,1",0,"473,7","9,01","89,3",181,"262,3",156566,"1,3","2333,5","32,1","52,6",0,"2,1","0,4",80,4,19,"36,4","5,1",100,"87,8","48,7","27,3",15,"18,3",6,1,"4,7",100,"232,1","21,4",100,100,"7,89","0,6",1,0,0,0,"2,1",100,"12,9",0,"329,6",1,0,0,0,100,"12,1",336
Nyírmada,Kistelepülés,2022,"-16,9",8,"5,7","1192373,3",0,"364,1","38,31","93,1",91,"28,8","1289,6",0,4652,"21,5","56,1",0,"2,1","0,6","84,46","1,9",45,"34,4","10,8",100,"34,8","44,1","27,4","23,6","22,3",0,1,49,100,"227,9","64,5",1,100,"10,22","0,6",1,0,0,0,"2,1",100,"0,4",0,"301,8",1,0,"1,5",0,100,"10,1",916
Nyúl,Kistelepülés,2022,"28,4","1,5","19,7","2971397,7",0,"180,5","20,76","97,9",335,"50,3","2068,6","19,1","2311,5","28,1",51,0,"2,2","0,4","85,88","0,4",17,"28,1","0,8","97,2","22,6","55,7",68,"28,1","3,3","1,6",1,"4,3",100,"307,6",0,1,100,"42,11","0,9",1,0,0,0,"2,2",1,"4,5",0,"488,2",1,0,"2,4",0,100,"13,1",181
Ebes,Kistelepülés,2022,"12,2","0,4","16,3","2350550,1",0,"799,3","108,23","97,4",403,"137,6","92961,8","10,1","1539,7",26,"55,5",0,"2,2","0,4","90,13","0,7",18,"43,3","3,5",100,25,"54,7","36,7",39,"8,5","1,1",1,"3,5",100,"326,7",0,1,100,"6,17","0,4",1,"11,7",0,0,"2,2",100,"3,1",0,"417,2",1,0,"-1,8",0,100,"15,2",62
Balatonfűzfő,Kistelepülés,2022,"18,8","6,7","18,2","2270350,7",13,"327,4","73,08","97,5",654,"64,6","34253,6","5,2","1536,7","34,7","64,5",0,"2,2","2,2","95,38","2,9",17,"54,2","1,7","93,4","69,2","53,1","412,9","71,6","4,6","1,7",1,"19,3",100,431,0,100,100,"13,68","1,1",1,0,0,0,"4,3",1,"3,1",60,"476,4",1,0,"-16,1","144,1",100,"18,2",11
Mélykút,Kistelepülés,2022,2,"7,6","7,4","1473562,7",0,"791,1","73,65","92,2",65,"225,9","79288,9",0,1536,"49,9","58,7",0,"2,2","0,4","76,87","1,6",62,"78,1","2,6","79,7","17,8","48,6","27,7","32,6","16,1",3,1,"6,3",100,"310,3",0,1,100,"23,46","0,7",1,0,0,"3,5","2,2",100,"4,2",0,405,1,0,"-14,3",0,100,"11,8",396
Kondoros,Kistelepülés,2022,"3,5","2,2","10,6","1860854,5",0,"395,1","20,45","89,8",89,"100,9","162449,3","0,4","1134,3","48,5",60,0,"2,2","0,4","82,93","1,6",26,"70,5","2,2","55,1","17,7","56,4","28,1","39,7","14,1","0,9",1,"59,7",100,324,0,1,100,"55,45","0,4",1,0,0,"0,7","2,2",100,"3,6",0,"388,6",1,0,"-9,5",0,1,"11,5",452
Hévíz,Kistelepülés,2022,-9,"5,3","25,7","1796562,4","52,3","570,4","81,06","87,1",692,196,"14313,5","5,2","1127,3","66,5","72,9",0,"6,7","0,7","82,76","3,1",38,"403,6","1,3","97,6","47,6","49,1","23466,3","263,9","1,8","1,3",1,"5,5",100,"479,7","73,2",100,100,"10,26","1,1",100,"368,7","58,6",0,"2,2",100,"2,3",0,548,1,0,"-11,9",0,1,"23,2",2
Mezőfalva,Kistelepülés,2022,"0,5","8,4","7,8","2203635,9",0,"172,2","34,53","86,5",251,"47,1","115706,3","0,5","2252,5","28,9","52,2",0,"2,2","0,9","78,37","1,2",38,"31,1","3,7","9,7","17,1","53,2",0,20,"12,8","2,2",1,"5,1",100,"301,9",0,1,100,"11,73",0,1,"3,3",0,0,"2,2",100,"11,9",0,"411,5",1,0,"-4,7",0,100,11,586
Dány,Kistelepülés,2022,"9,8","6,9",9,"1957453,8",0,"187,3","18,97","96,4",214,"58,2","2222,7","6,9","1499,7",20,52,0,"2,2","0,9","96,37","1,5",54,40,"2,8","99,1","34,8","50,3",0,20,"21,1","1,9",1,"3,8",100,311,0,1,100,"9,23","0,4",1,"15,9",0,0,"2,2",100,"3,1",0,"391,6",1,0,"-4,7",0,1,"11,4",481
Telki,Kistelepülés,2022,"3,8","2,5","42,1","4017076,7",0,"359,4","32,47","89,2",994,"200,6","1718,3","22,5",2239,"26,8","57,6",0,"2,2","0,4","90,27","1,2",26,"22,3","0,6","79,3","44,1","51,9","28,5","26,8","4,8","0,5",1,0,100,"329,2",0,1,100,"12,07",0,1,0,0,0,"2,2",1,"2,6",0,"417,2",1,0,"-0,2",0,1,"16,1",34
Etyek,Kistelepülés,2022,"11,8","3,1",22,"2881267,7",0,"198,1","40,45","99,1",561,108,"919,7","9,6","1486,7","42,6","49,8",0,"2,2","0,7","77,67","1,1",22,"31,4",1,100,"30,8","55,2","274,4","80,7","7,9",2,1,"3,4",100,"295,1",0,1,100,"24,38","0,2",1,0,0,0,"2,2",100,"3,4",0,"470,6",1,0,"0,2",0,1,"14,3",92
Kótaj,Kistelepülés,2022,"1,3","3,6",9,"1695363,4",0,116,"10,46","98,2",207,"21,3","8263,9","5,3","2223,5","40,5","44,8",0,"2,2",0,"88,56",1,16,"40,5","5,2",100,"49,7","48,9","28,7",18,"16,9",0,1,"16,6",100,"233,2",0,1,100,"16,24","0,4",1,0,0,0,"2,2",1,"0,5",0,"383,9",1,0,"1,1",0,1,"10,8",641
Aba,Kistelepülés,2022,"-3,8",2,"8,1","2311576,3","26,6","433,2","45,84",100,250,"205,8","24901,3","1,9",2222,"31,5","47,9",0,"2,3","0,7","81,78","1,1",20,"40,5","2,2","91,3","12,5","57,5","28,7","33,8","10,8",1,1,"3,4",100,"278,8",0,100,100,"16,66","0,7",1,0,0,0,"2,3",100,"2,5",0,"387,5",1,0,"-3,1",0,100,"15,8",40
Csorvás,Kistelepülés,2022,"0,7","1,6","7,9","1838559,5",0,"409,7","19,69","95,8",139,"100,2",83517,0,"1110,3",45,59,0,"4,5","0,2","88,92","2,8",24,"65,3","3,7","87,5","29,4",52,"28,7","29,3","11,3","1,1",1,"29,5",100,"198,6","58,5",1,100,"32,57","1,1",1,0,0,"1,6","2,3",100,"1,9",0,"367,9",1,0,"-9,7",0,100,12,356
Kóka,Kistelepülés,2022,"-10,2","7,2","9,9","1943540,2",0,"331,3","16,76","99,7",322,"18,5","214398,2","0,5",1473,"38,5","51,7",0,"2,3","0,5","72,84","0,6",57,"33,9","2,3",100,"19,2","52,6","28,9","9,1","10,1","3,3",1,"2,9",100,"308,9","4,5",1,100,"13,75",0,1,"6,8",0,0,"2,3",100,"4,9",0,430,1,0,"-1,4",0,1,"11,8",404
Nagyszénás,Kistelepülés,2022,"15,7","1,6","9,2","1864553,8",0,"326,3","24,47","97,4",130,"41,2",133055,0,1472,"49,8","64,4",0,"2,3","0,7","87,24","0,9",36,"74,7","2,7","72,1","50,6","52,9","28,9","49,8","15,2","0,7",1,"40,3",100,"313,4","101,9",1,100,"25,54","0,2",1,0,0,0,"2,3",100,"1,8",0,"392,7",1,0,"-15,4",0,100,"11,8",400
Csemő,Kistelepülés,2022,"3,2","6,3",7,"1619989,4",0,"169,2","14,65",100,291,"34,4","22098,9",0,"1471,3","38,5",49,0,"2,3","0,5","34,95","0,6",32,"20,4","4,1",100,"16,2",48,"28,9","18,1","6,3",0,1,"1,6",100,"223,6","11,3",1,100,"11,06",0,1,0,0,0,"2,3",100,"0,5",0,"477,1",1,0,"2,1",0,1,"10,6",714
Csenger,Kistelepülés,2022,"-11,1","4,3","12,5","1436020,8",23,1264,"20,13","93,5",136,"213,6",210718,0,1465,66,"58,2",0,"4,6",0,"83,55","1,7",85,"106,9","7,8",100,"46,2","50,1",29,"34,1","19,9","1,9",1,"57,8",100,"294,2","27,3",100,100,"5,24","0,9",100,"58,2",0,"0,7","2,3",100,"3,1",0,"370,2",1,0,"-6,8",0,100,"16,5",29
Mezőhegyes,Kistelepülés,2022,"-8,2","3,9","12,2","1817872,4",0,419,"56,02","77,3",83,"186,9","149972,2",0,"1464,3","29,6","60,4",0,"2,3","1,1","64,56","1,1",55,"59,2","3,4",100,"37,1","51,3","76,4","47,8",14,3,1,13,100,"329,2","4,6",100,100,"18,24",0,1,0,0,"1,4","2,3",100,"4,5",0,"369,5",1,0,"-12,4",0,100,"12,2",320
Csurgó,Kistelepülés,2022,"-0,2","3,4","12,9",1653602,"29,6","543,4","27,78","85,3",111,"314,1","141378,1",0,1098,"29,6","54,9",0,"2,3","2,7","74,98","0,7",75,"63,8","5,3","82,7","38,8","49,2","87,8","31,9","18,2","1,4",1,"12,3",100,"244,1","75,1",100,100,"11,81","1,6",1,16,0,"2,3","2,3",100,"1,9","140,3","459,7",1,0,"-8,7","533,5",100,"16,1",35
Szirmabesenyő,Kistelepülés,2022,"-3,5","3,7","19,3","2606927,5",0,"337,1","157,84","95,4",334,"160,9","37123,1","3,6",1452,"27,5","54,2",0,"2,3","0,7","87,46","1,4",16,"25,3","2,8",100,"41,6","53,1","29,3",23,"9,9","0,6",1,20,100,"304,4","27,5",1,100,"31,38","0,9",1,0,0,0,"2,3",100,"2,7",0,"451,3",1,0,"-5,8",0,100,"14,6",80
Nagyvenyim,Kistelepülés,2022,-5,3,"16,7","2730766,7",0,"130,7","18,43","99,8",398,27,"3478,6","6,9","2165,5","23,1","50,9",0,"2,3","0,9","87,27",5,35,"20,8","1,5","75,5","52,3","54,2",0,"18,5","16,4",2,1,0,100,"319,1",0,1,100,"18,44","0,9",1,0,0,0,"2,3",100,"4,3",0,"467,8",1,0,"-6,9",0,100,"12,7",234
Pétfürdő,Kistelepülés,2022,"-10,8","3,9","9,1","2274799,6",0,"418,2","140,84","97,3",352,"77,1","1462,5",0,2164,"20,8","54,4",0,"2,3","2,5","74,22","2,7",20,37,"1,8","99,5","47,4",53,"29,5",30,"9,9","5,6",1,"26,3",100,"398,3",0,1,100,"4,07","0,2",1,0,0,0,"2,3",1,"19,4",0,"442,5",1,0,"-7,4",0,100,"13,3",163
