Település,Településtípus,Év,Belföldi oda- és elvándorlás különbsége ezer lakosra,Bűncselekmények száma ezer főre,Diplomások aránya (interpolált),Egy lakosra jutó SZJA adóalapot képező belföldi jövedelem (Ft),Gimnáziumi tanulók a nappali oktatásban ezer főre,Helyi önkormányzatok összes költségvetési bevétele (1000 Ft) egy főre,Iparűzési adó egy főre (1000 ft),Közüzemi ivóvízvezeték-hálózatba bekapcsolt lakások aránya (százalék),Lakások átlagos négyzetméterára,Alapszolgáltatásokon felüli kiadások egy főre (1000 Ft),Állami támogatások egy főre (pályázatok),"Az év folyamán épített lakás, 1000 lakásra (db)",Egy házi- és házi gyermekorvosra jutó lakos (fő),Élelmiszer és élelmiszer jellegű belkereskedelmi egységek száma tízezer főre (db),Eltartottsági ráta,Gyógyszertárak tízezer főre,"Játszóterek, tornapályák, pihenőhelyek ezer főre",Kulturális rendezvényeken részt vevők száma egy főre,Nem élelmiszer jellegű belkereskedelmi egységek száma tízezer főre (db),"Nyilvántartott álláskereső, 100 15-64 évesre (fő)",Önkormányzati járdák kiépítettsége (százalék),Önkormányzati utak kiépítettsége (százalék),"SZJA adófizető, 100 lakosra (fő)",Vendégéjszakák száma a kereskedelmi szálláshelyeken száz főre (db),Vendéglátóhelyek száma tízezer főre (db),25 év alatti nyilvántartott álláskeresők aránya (százalék),Házi segítségnyújtásban részesülők ezer főre,Internet-előfizetések száma ezer főre,Jelzőrendszeres házi segítségnyújtásban részesülők tízezer főre,Lakosságtól szelektíven elszállított települési hulladék aránya (százalék),Önkormányzat által kiutalt lakások ezer főre (db),"Személygépkocsi, 1000 lakosra (db)",Indexpontszám,Rangsor
Vértesacsa,Kistelepülés,2014,4,-4,"1,7","1395008,5",0,"57,3","3,76",0,0,"49,5","30462,3725",0,-1761,"5,6","-1,1","-5,7",0,"-0,1","-5,7","-2,1","11,7","26,2","5,5","61,8","5,6","-3,9","-1,7","141,3",0,"16,79",0,"125,4","0,9",203
Nyírtura,Kistelepülés,2014,"-3,2","-7,5","2,4",1034697,0,"347,4","2,47",7,"180,7","25,6","2961,53826","4,1",21,"-11,8","14,3",0,0,"-9,3","5,1","-3,6",0,0,"0,4","61,8","-8,7","-4,7","-43,5",110,0,"15,52",0,150,"2,3",9
Soponya,Kistelepülés,2014,"7,6","-13,1","1,3","1329897,5",0,"29,6","5,16","3,5",0,"74,8","12655,6779",3,-45,"-4,8",6,"0,2",0,"-0,9",-21,-1,47,"0,6",5,"72,2","0,7","3,7",3,"94,7",0,"10,23",0,"120,4","1,3",20
Váchartyán,Kistelepülés,2014,"-12,9","-6,8","3,2","1500510,2",0,"30,1","12,85","3,6",425,"11,5","472,6851","1,5",79,"-15,2","11,8","-0,2","0,6","0,9","-19,7","-2,8","-89,4","-1,3","7,7",0,"3,8","-10,6",0,"140,6",0,"5,73",0,"118,8","3,3",-507
Sármellék,Kistelepülés,2014,"-10,1","-6,6","2,8","877693,4",0,"-281,7","1,65","0,4","198,9","-581,7","-782407,39",0,-42,12,"4,7","0,2",0,"-1,6","-4,7","-1,8",0,"-0,1","2,4","163,2","0,8","-10,3","-10,9","98,6",0,"0,8",0,"139,5",1,234
Gégény,Kistelepülés,2014,"13,7","-1,6","1,4","1091280,7",0,"40,2","1,81","0,6",0,"7,6","4299,5",0,-165,"4,4","4,7","0,5","0,1","0,2","-6,9","-3,6",0,"1,1","5,6",0,"-7,1","-15,2","-17,8","93,4",0,"9,95",0,"137,5","0,7",379
Lábod,Kistelepülés,2014,"34,5","-17,1","1,3",793345,0,"66,3","-5,79",1,103,"-23,8","6730,7677",0,"-92,5","19,8","7,9","0,6","0,1","-0,6","-13,3","-6,7","0,7","0,6","2,3","55,5","3,8","-8,9","-0,2","116,2","-39,5","6,68",0,"101,8","2,9",-978
Szurdokpüspöki,Kistelepülés,2014,"6,4","-7,9","2,9","1265929,9",0,"159,5","2,6","2,1","160,4","182,7","74180,568","-1,2",-126,"1,6","13,1","0,4","1,1","-1,1","2,3","-2,1","8,7","2,2","4,5","-3,1","-3,4","4,9","2,3","108,4",0,"1,58",0,"163,8","2,5",-320
Kálmánháza,Kistelepülés,2014,"-2,6","-7,5","2,5","1180423,9",0,"-16,7","3,87","7,4","207,5","-27,6","-135036,08","-1,3",1757,"12,9","9,2","0,2",0,"-5,2","-20,4","-5,3","-51,7","12,8","6,3","62,7","-4,8","-12,5","-0,4","123,4","-57,5","15,56",0,"153,1","1,7",67
Csengele,Kistelepülés,2014,-13,"-8,4",2,"675058,9",0,"111,2","42,68","0,9",150,"21,5","-306,05962",0,763,"14,6","3,2","0,6","-0,5","-1,1","10,9",-2,"64,8","0,1","7,5","63,8","-3,1","1,3","-5,3","-27,4",0,"0,02",0,"142,7","2,1",-495
Bercel,Kistelepülés,2014,"36,1","-20,8","2,9","1317255,4",0,"135,5","41,29","5,9","74,1","104,3","-46055,527","1,4",-276,"-5,2","8,3","0,8","0,1","0,9","-18,5","-2,1","-0,3","0,1","7,4","139,1","-10,2","-2,4","-1,9","117,1","-20,8","8,71",0,"145,4","2,6",-388
Újlengyel,Kistelepülés,2014,"15,9","-9,7","2,6","1488219,8",0,"29,3",0,"4,1",364,"105,9","86975,5069",0,104,"-1,4","4,8","-0,4","-0,6","-1,9","-15,1","-2,8",0,"3,3","11,4","318,3",-34,"2,1","-4,4","74,2",0,"7,87",0,"1442,7","3,4",-591
Madocsa,Kistelepülés,2014,"-0,2","-2,5","2,7","1417027,8",0,"122,5","19,45",0,-43,"102,9","-25185,304","-1,2",813,"-7,8","2,8","0,3","0,6","0,7","7,9","-0,6",0,"2,7","7,1","73,1","9,2","-4,6",-5,"107,8","-56,5","12,94",0,"152,1","0,6",444
Nagyfüged,Kistelepülés,2014,7,"-4,1","0,2","941381,9",0,"38,2","11,69","6,1","64,2",16,"-90552,943",0,150,-10,"-2,2","-0,6",0,"2,1","-0,8","-2,8",0,"1,1","5,8",0,"-0,8",-11,"-4,5","71,1","-13,1","8,3",0,"77,3","1,5",-128
Besnyő,Kistelepülés,2014,"22,6","-5,5","2,6","1503277,5",0,16,"-1,33","-0,3","-47,8","-7,1","-22037,604","1,4",1741,"-30,8","7,9","-0,2",0,"-1,2","-12,7","-0,9","-4,7",2,"9,7",0,-7,"-17,9","-0,2","123,7",0,"10,52",0,"125,7","-0,2",830
Tiszabezdéd,Kistelepülés,2014,"7,7","4,9","0,7","875433,5",0,"37,7","2,19","2,6","-26,2","-27,4","-37266,532","-1,5",-137,"-7,2","-3,4",0,0,"-0,5","8,3","-9,3",0,-4,"9,9","73,3","-30,7","-8,9","-29,3","154,8","4,2","8,79",0,"105,7","0,1",880
Mátraverebély,Kistelepülés,2014,"0,6","-10,2",1,"718663,8",-9,"132,2","5,22","7,1","51,2",-15,"-1697828,8","-2,4",-147,"-5,6","-2,9",0,"0,1","0,4","-8,2","-4,8","-0,1","-0,2","7,4","755,5","-13,6","-2,4","-1,9","87,7","-5,2","1,65",0,113,"0,1",566
Tényő,Kistelepülés,2014,"-17,3","-3,5","3,7","1517812,4",0,"90,1",0,"8,5",457,"-21,4","49888,8327","1,1",192,"-10,8","1,8","-0,7",0,"-1,3","-1,1","-0,8",0,"2,9","4,5","52,7","-23,7","-22,8","-15,2","147,8",0,"-1,41",0,"303,4","3,3",-413
Tiszanagyfalu,Kistelepülés,2014,"-1,1","-4,4","1,7","829385,8",0,"110,2","-0,37","3,3","90,9","46,9","40728,1885","-1,4",-55,"-10,5","10,8","0,2","0,6","1,8",1,-7,"-28,8","-14,7","3,2",0,-5,"-5,2","-74,9","85,9","-10,6","15,96",0,"111,2","1,6",45
Tiszabercel,Kistelepülés,2014,"19,5",-8,"0,2","571319,2",0,"239,5","12,38","8,9",0,"120,7","-2016214,4",0,-74,"-3,4","12,5","0,3",0,"0,4","-3,7","-4,6",0,"-0,6","0,4",-10,"-15,9","-13,2","-2,1",105,65,"16,04",0,"76,6","0,6",458
Dunaszekcső,Kistelepülés,2014,"16,1",-14,"1,6",780048,0,"41,4","-2,58",0,"-31,4","-4,8","4193,9",0,790,"-17,4","3,7","0,5",-1,"1,7","-30,4","-4,5","-9,6","0,5","6,2","34,1","-28,4","-3,1","4,6","374,8","-1,5","6,93",0,"98,3","-0,2",972
Taszár,Kistelepülés,2014,"-18,6","-9,3","1,8","1263713,7",0,"143,3",2,"0,8",192,"67,8","148591,047",0,-176,"-3,7","7,7","0,6",0,"0,5","-8,9","-2,4","-1,3","-0,2","4,7","73,7","-12,3","-21,2","-1,9","113,8","-13,6","15,75",0,"126,1","2,4",-29
Ököritófülpös,Kistelepülés,2014,"28,2",-17,"0,4","649945,8",0,"25,6","-1,31","6,6",0,"-13,6","-437810,69",0,-1797,"-26,7","0,8","0,2",0,"-0,7","0,8","-4,5",0,"0,1","6,4","-10,1","9,1","-0,2","-50,4","71,1","15,2","10,38",0,"67,8","0,5",472
Dunaalmás,Kistelepülés,2014,"4,9","-1,1",3,"1478527,4",0,"44,9","-11,73","-8,5",300,"79,5",2894,"2,7",0,"-9,4","4,7",0,"0,5","1,2","7,6","-0,2","0,7","-0,2","3,9","66,7",13,"-3,2","-2,2","-30,9","-1,4","-6,12",0,"82,7","3,3",-498
Atkár,Kistelepülés,2014,17,"-5,3","3,4",1458086,0,"47,8","1,57","-0,6","88,3","32,9","-4235,9848","5,4",26,"17,2","3,6","-0,1","0,6","-1,7","5,5","-2,1",0,"2,1","7,1","-10,7","11,2","1,8","4,1",84,"5,6","16,92",0,"134,3","2,3",-118
Majosháza,Kistelepülés,2014,"1,6","-3,6","0,6","1453970,6",0,"-29,8","54,15",0,1047,"-83,5","-192812,28","18,2",165,"9,8","2,8","-0,7",0,"3,7","-16,6","-3,3",0,"0,7",10,"74,4","0,9","-9,8","-2,7","214,2",0,"-3,82",0,"124,4","5,1",-494
Felsőszentiván,Kistelepülés,2014,"1,1","-2,7","1,7","866301,7",0,"552,8","26,81","2,1","68,3","54,1","120853,814","1,2",-1776,13,"9,7","0,3",0,"-1,3","-9,2","-1,3",0,"0,1","4,1","74,7","-4,5","-8,4","2,8","279,9","37,4","38,19",0,108,"2,8",-439
Mátraderecske,Kistelepülés,2014,-14,"-5,6","2,9","962551,8",0,-1,"25,9",3,"65,8","124,9","-53712,988",0,-97,"3,6","11,9","0,6","0,1","0,9","8,9","-1,1",0,"1,2","5,4",52,"17,1","-27,2","-0,6","106,4","49,4","12,58",0,"113,9","1,7",19
Szár,Kistelepülés,2014,"-1,8","-4,3",5,"1639888,4",0,"249,8","11,67","0,2","-118,1","157,2","-69330,097","4,9",-1623,"14,2","7,4","-0,3",0,"-13,4","-1,2","-0,3","-0,4","0,7","7,5","237,1","4,9","-8,3","-2,6",94,0,"27,03",0,"89,4","0,9",294
Pap,Kistelepülés,2014,13,"-10,6","3,7","1000528,2",0,"105,7",0,"2,8",0,"-12,5","-28972,7","1,6",-83,"12,8","5,7","0,3",0,"3,3","18,9","-1,5",0,"1,6","2,1","74,8","-13,6","-4,5","-12,8","121,5","20,3","9,88",0,"139,7","1,2",53
Halmaj,Kistelepülés,2014,"9,3","-5,8",1,"972905,4",0,"292,5","6,56",3,"73,7","76,5","-27173,645","-1,7",-114,"3,3",16,"0,4",0,"-0,9","21,3","3,3",0,"0,1","4,7","74,9","-2,6","-17,5","-6,3","85,8","-51,3","10,74",0,"131,8","1,8",82
Balatonszemes,Kistelepülés,2014,"-4,1","-4,2","4,1","918916,6",0,"530,9","28,93","18,5",433,"200,8","-35586,186","72,8",-45,-44,"17,7","0,2","0,7","-1,9","-26,2",-1,37,"7,2","3,6","6642,3","79,1",-3,"-2,1","253,3","-27,5","43,81",0,117,"4,8",-25
Nádasdladány,Kistelepülés,2014,"-1,2","-10,4","1,2","1475216,9",0,"50,8","4,27","5,4",0,"59,4","-13825,939",0,-18,-23,"6,4","0,1",0,"0,3","-5,5","-3,6",0,"-0,1",7,"-10,5","-8,7","-1,2","-4,6","106,5","29,4","10,49",0,"144,5","1,2",44
Markaz,Kistelepülés,2014,"27,8",-9,"4,3","1620403,5",0,"95,2","-19,55",-14,92,122,8722,"-1,5",1699,"12,4","6,5","0,2",0,"-0,5","-21,7","-1,6",0,"2,5","6,5","-6,3","-4,8",-4,"-0,6","153,9","-11,3","16,39",0,"117,6","1,5",118
Kálló,Kistelepülés,2014,"-30,4","-11,5",0,"802297,2",0,"132,4","3,82","4,4","77,4","13,9","-537799,39",0,-1438,-24,2,"-1,1",0,"-0,5","8,8","-6,6","17,3","1,3",12,0,"-12,1",-12,"-0,7","64,4",0,"5,94",0,"41,9","1,7",-481
Somogyvár,Kistelepülés,2014,"20,9","-19,3","0,2","868111,4",0,285,"8,61","-0,8",0,"912,5","-243239,17",0,-78,"-10,2","10,8","0,3",0,1,"-4,6","-2,9","2,8","-0,3",6,"70,8","1,1","-6,6","-0,1","94,8",0,"10,66",0,"104,9","1,5",-85
Rábapaty,Kistelepülés,2014,13,"-12,7","2,3","1526824,1",0,"45,5","-0,64",0,248,"21,4","-135484,71","7,2",113,"-4,2","8,1","-0,4",0,"-0,7","-22,7","-0,5","-1,8","-16,4","3,7","75,2","9,7","-2,1",0,"134,8",0,"-7,61",0,"99,2","3,1",-274
Fábiánháza,Kistelepülés,2014,25,"-23,7","0,7",746944,0,"-2,4","2,58","1,4",0,"-28,3","40838,1",0,-30,"-16,6","4,8","0,1",0,"-3,8","-8,5",-5,0,0,"6,2",0,"-8,5","-7,4","-30,4","123,7",0,10,0,"28,9","0,9",124
Csökmő,Kistelepülés,2014,"7,7","-15,3","1,3","887006,7",0,"184,2","1,52","-1,2",65,"59,1","61058,8634",0,-170,"3,8","3,3","0,5",0,"0,5","22,1","-4,9","-44,3","9,8","6,2",0,"-2,7","-6,2","-53,2","124,1","-30,1","3,13",0,"137,3","2,1",-727
Ladánybene,Kistelepülés,2014,-3,-8,"1,9","1161570,6",0,"169,9","0,55","3,4","174,4","-10,4","140301,1","-0,1",131,-9,"4,9","-0,5",0,"0,5","-15,8","-2,4",0,"-0,1",12,61,"-14,3","-1,2",-4,"82,9",0,"9,1",0,"124,2","2,2",-490
Tác,Kistelepülés,2014,"-19,2","-7,2","2,2","1387636,7",0,"345,1","-1,83",0,"-113,5","67,2","210417,834",0,18,"5,6","4,2","-0,1",0,"0,5","-6,3","0,2","2,7","0,6","1,9",0,"-0,2","1,5","-0,6","82,4","5,9","14,63",0,"151,7","0,1",512
Tiszasziget,Kistelepülés,2014,"18,9","-98,1","2,5","1160194,8",0,"102,6",7,"0,9","152,5","56,6","-25867,019","4,6",3,"-11,9","10,5",0,0,"0,3","-11,9","-0,9",0,-47,"6,6","-10,8",0,"-19,5","-0,6","95,3",0,"5,13",0,"109,3","2,4",-131
Kunszállás,Kistelepülés,2014,"-10,3",-3,"2,9","1462711,2",0,169,"38,7","6,3","205,7","33,3","-5908,4979","3,9",-1683,"11,9","9,5",0,0,"-8,8","-5,9","-2,7",0,0,"6,1","65,1",0,"6,1","5,4","96,6",0,"28,49",0,"130,1",3,-219
Járdánháza,Kistelepülés,2014,"7,9","0,8","1,3",614215,0,"106,8","-0,31","3,6",0,"-21,2","173722,442",0,-184,"-14,3","4,9","0,6","0,7","-0,5","-2,4","7,7",0,0,"0,5","-49,4","-8,9","-7,5","1,2","97,6",0,"23,05",0,"126,4","0,5",372
Nagyvázsony,Kistelepülés,2014,"4,9","-7,9","2,8",1133094,0,"198,2","14,38",0,"419,3","79,5","-10709,566","-4,4",-63,"7,4","10,7","0,3",0,"-2,6","-27,1","-1,5",0,0,"7,4","209,3","-38,2","-6,7","-9,8","63,2",0,"9,82",0,"149,8","2,6",1
Csákánydoroszló,Kistelepülés,2014,"10,3","-3,9","1,3","935872,7",0,"15,3","2,91","2,8","-114,3","35,2","-6335,5203","3,3",-1738,"-4,1","10,5","0,2",0,0,"-16,2","-0,4","0,1",0,"2,2","45,7","-21,7","-13,9","-2,8","83,5","-5,8","6,87",0,"119,1","-0,4",830
Szederkény,Kistelepülés,2014,"22,1","-4,5","1,7","1054754,8",0,"301,6","25,52","-4,6","-86,3","81,3","131060,205","8,7",-41,"-13,8","15,1","0,3","0,1","-1,3","-20,6","0,2","4,2","-15,3","3,4",66,"1,1",-21,"-1,4","318,6","104,1","15,38",0,96,"0,7",358
Tázlár,Kistelepülés,2014,"-5,2","0,9","1,3",698297,0,"62,4","7,39","3,9","-74,3","21,8",31436,0,-90,"1,5","14,2","0,3","-0,5","-2,7","-9,8",-4,0,0,"4,1","76,3",-8,"-1,7","0,6","85,3",0,"27,18",0,"123,3","-0,2",1007
Vasmegyer,Kistelepülés,2014,"-28,4","-4,1","1,2","706536,1",0,"16,5","18,14","10,5",147,"89,7","44098,5",0,-11,"0,2",8,"0,1",0,"0,2","-5,7","-5,3",0,0,"1,8",0,"-17,8","-8,2","12,7","76,9",0,"7,97",0,"101,2",3,-1111
Balatonkeresztúr,Kistelepülés,2014,"19,3","-13,8","4,6","964159,3",0,"148,2","6,31","-4,5",536,"-110,1","-302646,31","7,8",91,"-28,9","20,6","-0,7","-2,8","-7,9","-32,6","-1,2",0,"5,3","-2,7","272,8","-49,1","-8,8","-6,5","73,1","-14,6","7,01",0,"85,5","3,5",-18
Izsófalva,Kistelepülés,2014,"32,1","-23,4","2,4","714352,9",0,146,"11,88","1,5",0,"19,9","94480,3",0,1671,"1,2","2,1","0,2",0,-2,1,-2,0,0,"2,9",0,"-14,1","-7,1","-0,8","109,3","0,2","23,06",0,"94,7",1,130
Karancskeszi,Kistelepülés,2014,"24,7","1,3","2,1","843591,6",0,"77,3",3,"2,7","44,7","-14,4","33359,79",0,-185,"-2,4",8,"-5,4",0,"0,1","0,9","-5,9","17,4","4,1","4,9",0,"-13,2","-6,2","-11,1","119,8","-48,5","6,94",0,"131,3",1,215
Jánkmajtis,Kistelepülés,2014,"13,3","-4,1","0,9",786174,0,"263,7","1,73",-5,0,"-4,1","129825,431",0,"-9,5","-5,6","2,6","0,1",0,"-0,4","30,4","-5,3","-0,2","-10,5","9,3","65,8","0,1","-1,9","-18,6",97,"30,8","10,37",0,"80,6",1,129
Berekböszörmény,Kistelepülés,2014,"-32,6","-14,9","0,6","372984,9",0,"217,9","-0,85","-5,4","-44,8","70,1","60366,4759",0,-207,18,"4,6","0,7",0,"-0,6","-17,3",-3,0,"5,8","-3,1",0,"-2,7","-15,6","-47,7","118,5",0,"2,22",0,"78,5","-0,1",992
Mátraterenye,Kistelepülés,2014,"4,8","-7,7","2,1","1027813,8",0,"270,1","15,68","5,3","48,8","125,8","38438,7997",0,-165,"22,4","4,7","0,5","-1,6","-2,4","-29,6","-1,2",0,"0,1","5,5","90,6","3,8","-5,9","0,1","49,6","-131,4","3,97",0,"125,7","1,8",-52
Dombegyház,Kistelepülés,2014,5,"-11,2","1,4","674590,2",0,"337,9","22,74","3,6",47,"88,6",177655,0,-178,"9,6","14,5",1,"0,3","-2,5","-2,5","-1,1","-4,2","-23,9","-2,3","76,8","-9,6","-13,7","-15,4","176,1","-33,3","9,23",0,"141,8","2,9",-692
Hegykő,Kistelepülés,2014,"-18,7","-11,4","3,8","886285,7",0,"77,7","-0,61","8,4","471,8","71,2","-103559,62","2,3",119,"-16,7","5,3","-0,5","-0,1","-1,1","-29,7",0,"0,1","1,8",1,"6085,3","-16,7","28,6","-2,8","50,6",0,"15,1",0,"134,9","2,6",12
Szendehely,Kistelepülés,2014,"23,8",-3,"2,6","1655737,5",0,"326,7","-3,41","1,3","243,2","61,3","-226447,26","5,7",0,"2,4",2,"-6,6",0,"-0,3","21,2","-1,4","41,7",-22,"6,2","398,1","3,1","-5,9","-8,9","76,4","-39,9","10,24",0,"59,6","2,6",9
Szamosszeg,Kistelepülés,2014,"-15,2",-9,1,"831002,3",0,-114,"4,69","-1,5",0,"-45,9","-366845,35",0,-268,"-19,3","-3,1","0,8",0,"-1,5","-20,2","-5,4",0,-65,"8,1",0,"-13,1","-4,7","-5,5","140,7","-72,9","10,41",0,"150,3","-0,1",880
Gyönk,Kistelepülés,2014,"9,4","-6,6","1,5","880008,3","-46,2","-53,7","3,59","-20,2","88,2","48,6","-170833,83",0,"-170,5","-1,8","30,4","1,1","-0,1","-0,4",-46,"-3,4","-8,6","0,4","1,4","68,3","1,3","-10,5","3,4","98,4","-99,3","3,53",0,"135,5","1,4",44
Hercegszántó,Kistelepülés,2014,12,"-5,5",2,895675,0,"-7,5","2,3","-1,2",100,"53,5","-15018,547",0,"638,5","7,3","8,5","1,1","0,3","1,8","-6,6","-2,4",0,"2,6","4,6",75,"-9,3","-24,9","2,1","81,7","-34,8","26,31",0,"150,8","2,7",-897
Ricse,Kistelepülés,2014,"-14,5","-0,8","0,7","573440,1",0,"-142,2","-0,82",8,0,"-379,8","-543398,78",0,-1773,"3,2","13,9","0,5",0,"-2,2","0,6","-1,3",0,"-47,2","7,4",0,"9,8",-1,"-8,2","79,7","75,9","10,28",0,"83,6","0,1",794
Kazár,Kistelepülés,2014,"4,4","-8,9","0,6","959355,9",0,"85,9","0,95","3,4",50,-6,"40687,2598",0,-181,"-14,1",6,"-5,5",0,"0,3","20,2","-3,9","0,6",3,"6,5","67,9","-3,1","-3,4","-0,1","99,7",-22,"3,98",0,"123,4","1,1",181
Pálmonostora,Kistelepülés,2014,"16,7","-6,1","1,7","844834,3",0,"115,4","1,86","9,8",210,"7,4","29842,6637",0,-162,"-3,4","9,9","0,5",0,"0,7","-2,9","-4,2",0,"-0,1","7,7",0,"7,7","-8,9","1,2","129,6",0,"15,79",0,"141,5",3,-1319
Nemesnádudvar,Kistelepülés,2014,"-12,2","-2,1","2,8","849188,1",0,"254,3","13,07",0,"8,2","49,7","57451,549","1,4",-152,"-17,7","10,1","0,5",0,"-5,9","-15,6","-1,9","1,2","-1,4","1,1","117,3",19,"-10,3","1,4","91,5","-63,5","22,11",0,"132,2","1,9",30
Tardos,Kistelepülés,2014,"15,9","0,6",4,"1322705,3",0,"68,1","-0,23",0,142,"35,4","-2960,8019","1,4",31,"-15,7","12,9","-0,1",0,"1,3","-9,5","-1,2",0,"0,1","3,6","25,1","-6,8","0,4","3,1",94,"12,2","23,43",0,"133,1","2,7",-378
Kevermes,Kistelepülés,2014,"-19,9","-10,1","0,4","682870,7",0,"127,9","8,03","0,6",0,"195,2","-2729,7512",0,"-196,5","-5,3","10,1","1,2",0,"-2,3","-7,9","0,2",0,0,"3,4","-8,9","-8,9","-15,4","-44,1","155,5","-69,2","9,98",0,119,"1,1",133
Tömörkény,Kistelepülés,2014,"30,6","-2,2","1,7","894419,4",0,293,"-1,41","6,2","-32,5","31,4",0,"1,2",-76,-10,"8,1","0,2",0,"-2,9","-15,6","-3,6","0,2","0,5",8,0,"-10,4","-17,6","10,6","82,1","15,3","24,39",0,"131,4","0,7",438
Jászboldogháza,Kistelepülés,2014,"4,8",-6,"2,4","1209564,5",0,"62,6","-1,72","2,3","146,4","67,9","-77187,057","1,2",-26,"0,4","5,8","0,1","1,2","0,1","0,4","0,5",0,"0,6","4,3","67,3","-5,7","-18,9","-22,9",112,"-30,2","14,26",0,"143,1","2,2",-217
Sirok,Kistelepülés,2014,"42,7","-5,8","3,3","1032328,5",0,"68,9","87,89","4,9",77,"277,9","-55639,559",0,-161,"-8,4","14,6","0,5","0,4","-0,7","-18,5","-1,8",0,"-4,5","4,2",762,"-19,1","-8,2","1,8","133,6","23,9","12,52",0,"100,4","2,2",28
Kaszaper,Kistelepülés,2014,"-11,9","-8,1","1,3","1031806,4",0,"81,4","5,48",1,"-29,5","20,5","-13761,137",0,1627,"-7,5","-1,2","0,9",0,"-6,3","-4,9","0,7",0,0,"3,2",0,"-21,6","-4,1","-40,8","46,3","-6,8","16,44",0,"143,5","0,1",633
Érpatak,Kistelepülés,2014,"28,1","-32,7","1,4","817223,2",0,"200,6","-1,82","0,5",120,"40,6","-24875,2",0,-45,"-23,1","-5,8","0,2",0,"-1,1","-11,4","0,8",0,0,"10,9","181,2","0,5","-14,3",-37,"98,5","-29,9","16,35",0,"67,1","2,5",-1011
Zalaapáti,Kistelepülés,2014,"43,9","-14,6","0,5","734552,2",0,129,"1,33",0,273,"73,2","-177967,9","3,3",-12,"0,7","6,9","0,1",0,"-1,7","-17,6",-3,0,"0,1","1,3","39,5",-9,"-4,4","16,2","88,8","-66,1","-4,02",0,"127,3","3,1",-437
Magyaralmás,Kistelepülés,2014,"14,2",-8,"3,9","1621154,3",0,"329,6","3,96","3,7","-131,9","95,9","82144,9268","4,8",91,"-16,9","11,8","-0,3",0,"-2,9","-0,6","-0,6",0,"12,1","0,4",0,"-0,6","3,1",0,"92,5",0,"15,07",0,"104,1","0,3",426
Nógrád,Kistelepülés,2014,"1,4","-4,8","4,1","1331636,6",0,"112,2","1,44","9,7","-80,7","38,8","-59486,822","1,2",257,"-5,7","11,3","-1,1",0,2,"2,7","-1,3","0,4",2,"5,3","36,1","-42,3","-5,1","-2,7",60,"-43,9","16,19",0,"41,9","0,2",644
Geszteréd,Kistelepülés,2014,"-5,5","-1,7","1,6",958631,0,"49,6","7,75",2,"64,8","75,3","-6107,9768",0,-93,-9,"5,2","0,4",0,"-1,9","-3,5","-4,1","-20,6","-27,5","7,5","78,6","-10,6","-15,6",-86,"110,1","-29,1","15,95",0,152,"1,4",2
Vajszló,Kistelepülés,2014,"28,3","-2,7",0,"788992,3",0,495,"8,69","-0,4",123,"992,3","-181691,19","1,4",729,"10,7","11,2","0,6","0,3","-0,5","-10,6","-2,3","-33,8","3,3","2,5","68,6","-7,6","-9,8","-50,4","63,1",0,5,0,"148,4",3,-883
Dudar,Kistelepülés,2014,"-28,9","-7,3","2,3","1259193,1",0,107,"5,75",2,"207,1","-87,6","-123657,31","1,5",801,"-5,8","7,8","0,1",0,"-1,5","-5,9","-0,8",0,"-11,3","4,4","8,2","-9,1","-7,5","2,6","82,3",0,"-0,19",0,"156,1","1,7",91
Bajót,Kistelepülés,2014,"-1,6","-6,3","1,4","1283799,2",0,"19,8","-5,04","5,3",0,"14,6","-7757,6316",0,20,"24,2","5,7","-0,1","0,6","-0,9",-19,"-3,7","11,7","-19,5","3,7","67,7","15,4","-0,4","-22,6","158,9","18,2","0,12",0,"127,6","0,6",468
Darnózseli,Kistelepülés,2014,"19,4","-6,7",2,"1209196,4",0,"156,3","-0,02","0,5",0,"-0,9","47318,6577","6,4",112,"-10,7","5,4","-0,5","-0,1","-2,2","-22,2","-0,5","7,7","-0,3","1,6",-12,"3,9","-2,5","-4,1","97,7","-75,9","1,44",0,"137,8","0,7",369
Csávoly,Kistelepülés,2014,"17,5","-6,7","1,2","1064147,1",0,"794,9","10,78","-0,4","64,1","15,3","121699,149",0,-178,"28,5","12,9","0,6","0,6","0,5","-8,1","-3,5","14,3","-9,6","6,1",0,"-13,6","-4,1",1,"-6,6","34,7","28,76",0,"102,2",3,-607
Pusztamonostor,Kistelepülés,2014,"26,6",-6,"1,6","1594958,6",0,"150,4","8,92",9,"-51,8","96,9","85002,8","1,4",87,"-8,3","3,5","-0,3",0,"-0,9","-3,1","-0,2",0,"0,1","15,6",0,"-1,7",3,"-2,1","102,3","-45,8","14,57",0,"114,1","1,1",197
Miske,Kistelepülés,2014,"10,5","-5,5","1,5","584951,6",0,"-158,7","4,67","-3,3","50,6","-14,2",0,0,-16,"-24,5","8,1",0,"1,2","0,8","6,5","-2,5",0,0,"-1,3",0,"6,4","-6,5",2,72,0,"18,44",0,"61,8","1,1",184
Győrság,Kistelepülés,2014,"44,5","2,7","4,4","1782836,1",0,"380,4","1,03","2,9",355,"96,8","-58670,806","22,6",172,"8,2","4,1","-0,8","-0,1","-0,1","-11,6","-1,5",0,"5,7","5,1",0,"20,6","-11,7","-2,5","99,5",0,"10,29",0,"111,6","4,8",-668
