Település,Településtípus,Év,Belföldi oda- és elvándorlás különbsége ezer lakosra,Bűncselekmények száma ezer főre,Diplomások aránya (interpolált),Egy lakosra jutó SZJA adóalapot képező belföldi jövedelem (Ft),Gimnáziumi tanulók a nappali oktatásban ezer főre,Helyi önkormányzatok összes költségvetési bevétele (1000 Ft) egy főre,Iparűzési adó egy főre (1000 ft),Közüzemi ivóvízvezeték-hálózatba bekapcsolt lakások aránya (százalék),Lakások átlagos négyzetméterára,Alapszolgáltatásokon felüli kiadások egy főre (1000 Ft),Állami támogatások egy főre (pályázatok),"Az év folyamán épített lakás, 1000 lakásra (db)",Egy házi- és házi gyermekorvosra jutó lakos (fő),Élelmiszer és élelmiszer jellegű belkereskedelmi egységek száma tízezer főre (db),Eltartottsági ráta,Gyógyszertárak tízezer főre,"Játszóterek, tornapályák, pihenőhelyek ezer főre",Kulturális rendezvényeken részt vevők száma egy főre,Nem élelmiszer jellegű belkereskedelmi egységek száma tízezer főre (db),"Nyilvántartott álláskereső, 100 15-64 évesre (fő)",Önkormányzati járdák kiépítettsége (százalék),Önkormányzati utak kiépítettsége (százalék),"SZJA adófizető, 100 lakosra (fő)",Vendégéjszakák száma a kereskedelmi szálláshelyeken száz főre (db),Vendéglátóhelyek száma tízezer főre (db),25 év alatti nyilvántartott álláskeresők aránya (százalék),Házi segítségnyújtásban részesülők ezer főre,Internet-előfizetések száma ezer főre,Jelzőrendszeres házi segítségnyújtásban részesülők tízezer főre,Lakosságtól szelektíven elszállított települési hulladék aránya (százalék),Önkormányzat által kiutalt lakások ezer főre (db),"Személygépkocsi, 1000 lakosra (db)",Indexpontszám,Rangsor
Nagykanizsa,Város,2022,"-3,4","4,5",17,"2039282,5","30,9","304,6","64,17","94,9",306,"54,6","18943,5","0,4","1439,6","38,2","60,1","3,2","1,3","1,6","113,5","3,3",100,86,"50,5","107,4","43,8","7,6","3,7","412,2","9,5","39,29","1,4","457,9","30,6",34
Dunakeszi,Város,2022,"-7,9","4,7","29,8","3233700,9","19,2","245,8","73,9","90,3",821,"46,3","70304,4","2,3","2050,5","24,8","52,7","2,1","0,6","1,7","62,2",1,"89,3","77,5","54,3","13,4",26,"2,9","0,8","406,1",0,"21,41","0,2","470,2","30,7",32
Hódmezővásárhely,Város,2022,"0,6","5,4","15,7","1993803,1","24,2","264,7","51,7","97,8",316,"57,9","131227,5","1,8",1353,"39,3","58,6","2,9","0,7","1,3",93,"1,5",86,"23,1","51,1","126,2","44,1","10,5","2,8","364,2","12,2","36,96",1,"397,6","28,8",40
Dunaújváros,Város,2022,"-8,4","10,2","16,7",2477638,"25,6","322,5","115,21",100,373,"43,8","36443,8","0,4","1495,5",32,"55,5","2,9","1,3","1,7","80,2","2,9","97,9",75,"52,9","105,5","33,7",12,"3,4","452,2","9,3","6,6",0,401,32,28
Szigetszentmiklós,Város,2022,"3,6","7,6","20,6","2695471,8","24,5","285,5","121,66",98,622,41,"92753,5","3,6","2219,7","22,5","49,4","1,8","0,8","0,9","69,8","1,2","99,8","35,7","53,9","55,5","24,3","6,5","1,5","392,3","14,3","10,43","0,2","465,4",32,27
Cegléd,Város,2022,"4,4","7,6","15,2","2261665,1","22,3","275,4","50,14","96,4",407,"96,5","19208,1","3,3","1730,7","35,5","56,2",3,"0,4","2,2","89,1","2,4","92,5","27,6","51,9","202,2",38,"9,2","1,6","362,2","22,6","20,98","0,6","435,6","28,7",41
Mosonmagyaróvár,Város,2022,-2,"8,6","15,8","2025593,1","21,5","338,8","93,16",100,493,"53,3","14507,9","14,7","1901,4",33,"48,7","3,2","0,9","4,3","115,1","1,1","99,9","55,7","49,1","517,9","48,8","9,3",3,"378,2","48,8","4,86","0,9","455,4","33,8",18
Vác,Város,2022,"0,9","7,7",24,"2578031,5","56,8","270,7","93,09","98,7",599,"35,2","7201,1","3,7","1791,6","37,6","55,5","3,2","1,4","2,4","99,6","1,4","91,3","43,3","52,3","105,6","34,7",9,"1,9",385,0,"8,2","0,6","418,8","36,8",11
Baja,Város,2022,"-7,3",6,"20,7","1914897,2",44,"264,6","60,85","97,4",334,"39,4","94312,6","3,8",1441,"57,3","60,3",3,"0,3","2,6","137,6","1,7","89,9","46,1","48,3","337,5","39,5","12,5","2,4","399,7","28,4","18,73","0,7","466,2","32,4",26
Gödöllő,Város,2022,"-1,5","6,5",31,"2922621,6","56,6","327,5","88,2","94,5",611,"44,8","58084,4","5,2","1922,8","50,2","54,7","2,4",0,"2,2","119,3","1,7","60,8","68,5","53,2","127,4",52,"9,3","1,7",374,0,"16,58","0,2","457,8",41,3
Ózd,Város,2022,"-9,3","11,9","9,1","1409287,3","13,6","301,2","42,23","88,8",125,"32,2","41937,2",0,"1624,5","41,8","58,7","2,6","2,7","1,7","72,6","8,9",100,"33,8","43,8","24,2","25,6","14,2",11,"313,5","14,6","23,06","1,7","333,6","17,8",66
Hajdúböszörmény,Város,2022,"-1,8","3,4","12,3","1861218,2","21,6","232,9","33,28","93,9",439,"69,2","18807,9","4,3",1643,"38,5","52,3","2,4","0,3","0,7","77,1","3,2",100,"37,7","54,1","108,8",23,"9,3","12,7","256,7","19,6","16,11","1,3","374,1","25,7",51
Budaörs,Város,2022,"-0,3","10,4","34,8","3316321,1","25,4","701,3","401,88",97,902,"76,1","54201,6","6,2","1729,2","27,9","58,8","2,4",1,"0,4","134,7","1,4","99,2",80,"52,5","237,1","55,1","6,8","1,3","427,9","26,2","27,37","1,1","522,3","47,7",1
Kiskunfélegyháza,Város,2022,4,"5,4","14,6",2061888,"28,1",310,"72,04",80,358,"63,3","91819,6","2,9","1600,2","40,3","56,8","3,1","0,7","1,4","92,4","2,4",100,"17,7","52,3",34,"47,6","12,4","3,5","328,8",26,"20,24","0,5","431,3","26,3",47
Pápa,Város,2022,"-5,3","7,4","15,7","2289803,8","38,5","282,4","64,4","99,8",308,"71,9","6373,7",2,"2399,1","41,3","56,2","3,5","0,8","2,5","112,2","1,7",91,"31,2","52,7","259,5","47,6","13,4","3,5",362,"14,6","3,79","1,3","451,3","31,1",30
Esztergom,Város,2022,"-1,8","6,7","20,4","2402279,1","55,5","442,5","191,74","97,9",465,"159,4","88220,6",0,1912,"43,2","55,1","3,1","0,9","0,9",105,"1,7","99,6","33,2",51,"847,2","78,5","9,7","4,4","406,7",7,"17,83","0,6","434,2","39,5",6
Szentendre,Város,2022,"4,5","4,9","35,2",3030141,"62,1","378,8","56,53","97,3",768,"26,8","12005,3","8,8","2191,9","29,8","57,1","2,1","0,2","3,8","81,4",1,"93,3",38,"52,4","197,6","61,1","4,2","2,7","393,6",0,"11,31","0,2","467,1","39,2",7
Gyula,Város,2022,"-10,6","3,8","21,1","2192587,6","29,3","458,5","35,87","97,2",352,"100,8","8354,7","1,7","1560,6","38,4","60,2","3,2",1,"4,5","91,5","1,7","99,4","24,9","51,2","2115,4","62,7",13,"37,2","411,9","44,9","40,84","0,7","423,2",33,21
Gyöngyös,Város,2022,"-6,8","17,1","20,8","2448402,6","23,8","350,5","109,35","98,8",375,"95,6","28560,3",3,"1394,4","53,4","58,2","3,6","2,2","2,2","142,4","2,7",100,"45,4","52,4",795,"66,7","8,3","2,3","437,2","21,2","17,15",0,"456,5","33,5",20
Ajka,Város,2022,"0,5","3,8",13,"2265188,5","19,8","293,2","92,37","98,9",413,"37,1",30092,"2,3","1776,2","34,5","58,1","2,3","2,7","2,5","90,1","2,2","99,8","44,7","52,8","94,6","35,7","12,1","5,5","391,3","28,5","9,81","0,3","448,9",31,31
Kiskunhalas,Város,2022,"-7,4","14,8","15,4","1930502,4","43,6","321,5","37,02","88,6",315,53,"95574,6","0,8","1542,1","44,6","53,4","3,4","0,6","0,7","131,2",3,"71,6","21,8","49,3","93,2","39,7","9,3","5,2",331,0,"28,77","1,8","443,1","25,5",53
Jászberény,Város,2022,"-3,9",9,"19,2","2629989,3","44,5","303,7","124,19","96,9",374,"40,5","267163,4",3,"1628,6","37,6","57,4","2,7","0,2","5,8","116,7","2,6","83,8","25,3","65,3","71,7","38,4","10,4","2,2","355,4","18,4","21,88","1,3","493,5","35,2",14
